PROCEDURE_CODE,CPT4_CODE,CPT4_DESCRIPTION
11423,51596,"Cystectomy, complete, with continent diversion, any open technique, using any segment of small and/or large intestine to construct neobladder"
11424,51597,"Pelvic exenteration, complete, for vesical, prostatic or urethral malignancy, with removal of bladder and ureteral transplantations, with or without hysterectomy and/or abdominoperineal resection of rectum and colon and colostomy, or any combination thereof"
11426,51600,Injection procedure for cystography or voiding urethrocystography
11427,51605,Injection procedure and placement of chain for contrast and/or chain urethrocystography
11428,51610,Injection procedure for retrograde urethrocystography
11431,51700,"Bladder irrigation, simple, lavage and/or instillation"
11432,51701,"Insertion of non-indwelling bladder catheter (eg, straight catheterization for residual urine)"
11433,51702,"Insertion of temporary indwelling bladder catheter; simple (eg, Foley)"
11434,51703,"Insertion of temporary indwelling bladder catheter; complicated (eg, altered anatomy, fractured catheter/balloon)"
11435,51705,Change of cystostomy tube; simple
11436,51710,Change of cystostomy tube; complicated
11437,51715,Endoscopic injection of implant material into the submucosal tissues of the urethra and/or bladder neck
11438,51720,Bladder instillation of anticarcinogenic agent (including retention time)
11439,51725,"Simple cystometrogram (CMG) (eg, spinal manometer)"
11440,51726,"Complex cystometrogram (eg, calibrated electronic equipment)"
11441,51736,"Simple uroflowmetry (UFR) (eg, stop-watch flow rate, mechanical uroflowmeter)"
11442,51741,"Complex uroflowmetry (eg, calibrated electronic equipment)"
11445,51772,"Urethral pressure profile studies (UPP) (urethral closure pressure profile), any technique"
11447,51784,"Electromyography studies (EMG) of anal or urethral sphincter, other than needle, any technique"
11448,51785,"Needle electromyography studies (EMG) of anal or urethral sphincter, any technique"
11450,51792,"Stimulus evoked response (eg, measurement of bulbocavernosus reflex latency time)"
11451,51795,"Voiding pressure studies (VP); bladder voiding pressure, any technique"
11453,51798,"Measurement of post-voiding residual urine and/or bladder capacity by ultrasound, non-imaging"
11455,51800,"Cystoplasty or cystourethroplasty, plastic operation on bladder and/or vesical neck (anterior Y-plasty, vesical fundus resection), any procedure, with or without wedge resection of posterior vesical neck"
11458,51820,Cystourethroplasty with unilateral or bilateral ureteroneocystostomy
11461,51840,"Anterior vesicourethropexy, or urethropexy (eg, Marshall-Marchetti-Krantz, Burch); simple"
11463,51845,"Abdomino-vaginal vesical neck suspension, with or without endoscopic control (eg, Stamey, Raz, modified Pereyra)"
11465,51860,"Cystorrhaphy, suture of bladder wound, injury or rupture; simple"
11466,51865,"Cystorrhaphy, suture of bladder wound, injury or rupture; complicated"
11467,51880,Closure of cystostomy (separate procedure)
11469,51900,"Closure of vesicovaginal fistula, abdominal approach"
11472,51920,Closure of vesicouterine fistula;
11476,51940,"Closure, exstrophy of bladder"
11478,51960,"Enterocystoplasty, including intestinal anastomosis"
11480,51980,Cutaneous vesicostomy
11481,51990,"Laparoscopy, surgical; urethral suspension for stress incontinence"
11482,51992,"Laparoscopy, surgical; sling operation for stress incontinence (eg, fascia or synthetic)"
11483,51999,"Unlisted laparoscopy procedure, bladder"
11526,52000,Cystourethroscopy (separate procedure)
11527,52001,Cystourethroscopy with irrigation and evacuation of multiple obstructing clots
11528,52005,"Cystourethroscopy, with ureteral catheterization, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service;"
11529,52007,"Cystourethroscopy, with ureteral catheterization, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with brush biopsy of ureter and/or renal pelvis"
11530,52010,"Cystourethroscopy, with ejaculatory duct catheterization, with or without irrigation, instillation, or duct radiography, exclusive of radiologic service"
11553,52204,"Cystourethroscopy, with biopsy(s)"
11555,52214,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) of trigone, bladder neck, prostatic fossa, urethra, or periurethral glands"
11557,52224,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) or treatment of MINOR (less than 0.5 cm) lesion(s) with or without biopsy"
11559,52234,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) and/or resection of; SMALL bladder tumor(s) (0.5 up to 2.0 cm)"
11560,52235,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) and/or resection of; MEDIUM bladder tumor(s) (2.0 to 5.0 cm)"
11562,52240,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) and/or resection of; LARGE bladder tumor(s)"
11564,52250,"Cystourethroscopy with insertion of radioactive substance, with or without biopsy or fulguration"
11566,52260,"Cystourethroscopy, with dilation of bladder for interstitial cystitis; general or conduction (spinal) anesthesia"
11567,52265,"Cystourethroscopy, with dilation of bladder for interstitial cystitis; local anesthesia"
11570,52270,"Cystourethroscopy, with internal urethrotomy; female"
11571,52275,"Cystourethroscopy, with internal urethrotomy; male"
11572,52276,Cystourethroscopy with direct vision internal urethrotomy
11573,52277,"Cystourethroscopy, with resection of external sphincter (sphincterotomy)"
11575,52281,"Cystourethroscopy, with calibration and/or dilation of urethral stricture or stenosis, with or without meatotomy, with or without injection procedure for cystography, male or female"
11576,52282,"Cystourethroscopy, with insertion of urethral stent"
11577,52283,"Cystourethroscopy, with steroid injection into stricture"
11578,52285,"Cystourethroscopy for treatment of the female urethral syndrome with any or all of the following: urethral meatotomy, urethral dilation, internal urethrotomy, lysis of urethrovaginal septal fibrosis, lateral incisions of the bladder neck, and fulguration of polyp(s) of urethra, bladder neck, and/or trigone"
11580,52290,"Cystourethroscopy; with ureteral meatotomy, unilateral or bilateral"
11583,52300,"Cystourethroscopy; with resection or fulguration of orthotopic ureterocele(s), unilateral or bilateral"
11584,52301,"Cystourethroscopy; with resection or fulguration of ectopic ureterocele(s), unilateral or bilateral"
11585,52305,"Cystourethroscopy; with incision or resection of orifice of bladder diverticulum, single or multiple"
11587,52310,"Cystourethroscopy, with removal of foreign body, calculus, or ureteral stent from urethra or bladder (separate procedure); simple"
11588,52315,"Cystourethroscopy, with removal of foreign body, calculus, or ureteral stent from urethra or bladder (separate procedure); complicated"
11589,52317,Litholapaxy: crushing or fragmentation of calculus by any means in bladder and removal of fragments; simple or small (less than 2.5 cm)
11590,52318,Litholapaxy: crushing or fragmentation of calculus by any means in bladder and removal of fragments; complicated or large (over 2.5 cm)
11592,52320,Cystourethroscopy (including ureteral catheterization); with removal of ureteral calculus
11593,52325,"Cystourethroscopy (including ureteral catheterization); with fragmentation of ureteral calculus (eg, ultrasonic or electro-hydraulic technique)"
11594,52327,Cystourethroscopy (including ureteral catheterization); with subureteric injection of implant material
11596,52330,"Cystourethroscopy (including ureteral catheterization); with manipulation, without removal of ureteral calculus"
11597,52332,"Cystourethroscopy, with insertion of indwelling ureteral stent (eg, Gibbons or double-J type)"
11598,52334,"Cystourethroscopy with insertion of ureteral guide wire through kidney to establish a percutaneous nephrostomy, retrograde"
11600,52341,"Cystourethroscopy; with treatment of ureteral stricture (eg, balloon dilation, laser, electrocautery, and incision)"
11601,52342,"Cystourethroscopy; with treatment of ureteropelvic junction stricture (eg, balloon dilation, laser, electrocautery, and incision)"
11602,52343,"Cystourethroscopy; with treatment of intra-renal stricture (eg, balloon dilation, laser, electrocautery, and incision)"
11603,52344,"Cystourethroscopy with ureteroscopy; with treatment of ureteral stricture (eg, balloon dilation, laser, electrocautery, and incision)"
11604,52345,"Cystourethroscopy with ureteroscopy; with treatment of ureteropelvic junction stricture (eg, balloon dilation, laser, electrocautery, and incision)"
11605,52346,"Cystourethroscopy with ureteroscopy; with treatment of intra-renal stricture (eg, balloon dilation, laser, electrocautery, and incision)"
11607,52351,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; diagnostic"
11608,52352,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with removal or manipulation of calculus (ureteral catheterization is included)"
11609,52353,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with lithotripsy (ureteral catheterization is included)"
11610,52354,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with biopsy and/or fulguration of ureteral or renal pelvic lesion"
11611,52355,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with resection of ureteral or renal pelvic tumor"
11618,52400,"Cystourethroscopy with incision, fulguration, or resection of congenital posterior urethral valves, or congenital obstructive hypertrophic mucosal folds"
11619,52402,Cystourethroscopy with transurethral resection or incision of ejaculatory ducts
11625,52450,Transurethral incision of prostate
11632,52500,Transurethral resection of bladder neck (separate procedure)
11634,52510,Transurethral balloon dilation of the prostatic urethra
11645,52601,"Transurethral electrosurgical resection of prostate, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, and internal urethrotomy are included)"
11646,52606,Transurethral fulguration for postoperative bleeding occurring after the usual follow-up time
11648,52612,Transurethral resection of prostate; first stage of two-stage resection (partial resection)
11649,52614,Transurethral resection of prostate; second stage of two-stage resection (resection completed)
11651,52620,Transurethral resection; of residual obstructive tissue after 90 days postoperative
11653,52630,Transurethral resection; of regrowth of obstructive tissue longer than one year postoperative
11655,52640,Transurethral resection; of postoperative bladder neck contracture
11656,52647,"Laser coagulation of prostate, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, and internal urethrotomy are included if performed)"
11657,52648,"Laser vaporization of prostate, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, internal urethrotomy and transurethral resection of prostate are included if performed)"
11665,52700,Transurethral drainage of prostatic abscess
11737,53000,"Urethrotomy or urethrostomy, external (separate procedure); pendulous urethra"
11739,53010,"Urethrotomy or urethrostomy, external (separate procedure); perineal urethra, external"
11741,53020,"Meatotomy, cutting of meatus (separate procedure); except infant"
11745,53040,Drainage of deep periurethral abscess
11748,53060,Drainage of Skene's gland abscess or cyst
11765,53200,Biopsy of urethra
11767,53210,"Urethrectomy, total, including cystostomy; female"
11768,53215,"Urethrectomy, total, including cystostomy; male"
11770,53220,Excision or fulguration of carcinoma of urethra
11772,53230,Excision of urethral diverticulum (separate procedure); female
11775,53240,"Marsupialization of urethral diverticulum, male or female"
11779,53260,"Excision or fulguration; urethral polyp(s), distal urethra"
11780,53265,Excision or fulguration; urethral caruncle
11782,53270,Excision or fulguration; Skene's glands
11783,53275,Excision or fulguration; urethral prolapse
11799,53400,"Urethroplasty; first stage, for fistula, diverticulum, or stricture (eg, Johannsen type)"
11800,53405,"Urethroplasty; second stage (formation of urethra), including urinary diversion"
11802,53410,"Urethroplasty, one-stage reconstruction of male anterior urethra"
11803,53415,"Urethroplasty, transpubic or perineal, one stage, for reconstruction or repair of prostatic or membranous urethra"
11808,53430,"Urethroplasty, reconstruction of female urethra"
11809,53431,"Urethroplasty with tubularization of posterior urethra and/or lower bladder for incontinence (eg, Tenago, Leadbetter procedure)"
11811,53440,"Sling operation for correction of male urinary incontinence (eg, fascia or synthetic)"
11812,53442,"Removal or revision of sling for male urinary incontinence (eg, fascia or synthetic)"
11814,53445,"Insertion of inflatable urethral/bladder neck sphincter, including placement of pump, reservoir, and cuff"
11815,53446,"Removal of inflatable urethral/bladder neck sphincter, including pump, reservoir, and cuff"
11816,53447,"Removal and replacement of inflatable urethral/bladder neck sphincter including pump, reservoir, and cuff at the same operative session"
11817,53448,"Removal and replacement of inflatable urethral/bladder neck sphincter including pump, reservoir, and cuff through an infected field at the same operative session including irrigation and debridement of infected tissue"
11818,53449,"Repair of inflatable urethral/bladder neck sphincter, including pump, reservoir, and cuff"
11820,53450,"Urethromeatoplasty, with mucosal advancement"
11822,53460,"Urethromeatoplasty, with partial excision of distal urethral segment (Richardson type procedure)"
11828,53500,"Urethrolysis, transvaginal, secondary, open, including cystourethroscopy (eg, postsurgical obstruction, scarring)"
11829,53502,"Urethrorrhaphy, suture of urethral wound or injury, female"
11830,53505,"Urethrorrhaphy, suture of urethral wound or injury; penile"
11832,53510,"Urethrorrhaphy, suture of urethral wound or injury; perineal"
11835,53520,"Closure of urethrostomy or urethrocutaneous fistula, male (separate procedure)"
11845,53600,"Dilation of urethral stricture by passage of sound or urethral dilator, male; initial"
11846,53601,"Dilation of urethral stricture by passage of sound or urethral dilator, male; subsequent"
11847,53605,"Dilation of urethral stricture or vesical neck by passage of sound or urethral dilator, male, general or conduction (spinal) anesthesia"
11850,53620,"Dilation of urethral stricture by passage of filiform and follower, male; initial"
11851,53621,"Dilation of urethral stricture by passage of filiform and follower, male; subsequent"
11856,53660,Dilation of female urethra including suppository and/or instillation; initial
11857,53661,Dilation of female urethra including suppository and/or instillation; subsequent
11880,53850,Transurethral destruction of prostate tissue; by microwave thermotherapy
11881,53852,Transurethral destruction of prostate tissue; by radiofrequency thermotherapy
11882,53853,Transurethral destruction of prostate tissue; by water-induced thermotherapy
11887,53899,"Unlisted procedure, urinary system"
11941,54000,"Slitting of prepuce, dorsal or lateral (separate procedure); newborn"
11942,54001,"Slitting of prepuce, dorsal or lateral (separate procedure); except newborn"
11944,54015,"Incision and drainage of penis, deep"
11949,54050,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; chemical"
11950,54055,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; electrodesiccation"
11951,54056,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; cryosurgery"
11952,54057,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; laser surgery"
11954,54060,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; surgical excision"
11955,54065,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), extensive (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery)"
11962,54100,Biopsy of penis; (separate procedure)
11963,54105,Biopsy of penis; deep structures
11965,54110,Excision of penile plaque (Peyronie disease);
11966,54111,Excision of penile plaque (Peyronie disease); with graft to 5 cm in length
11967,54112,Excision of penile plaque (Peyronie disease); with graft greater than 5 cm in length
11968,54115,"Removal foreign body from deep penile tissue (eg, plastic implant)"
11970,54120,Amputation of penis; partial
11971,54125,Amputation of penis; complete
11973,54130,"Amputation of penis, radical; with bilateral inguinofemoral lymphadenectomy"
11977,54150,"Circumcision, using clamp or other device with regional dorsal penile or ring block"
11980,54160,"Circumcision, surgical excision other than clamp, device, or dorsal slit; neonate (28 days of age or less)"
11981,54161,"Circumcision, surgical excision other than clamp, device, or dorsal slit; older than 28 days of age"
11982,54162,Lysis or excision of penile post-circumcision adhesions
11983,54163,Repair incomplete circumcision
11984,54164,Frenulotomy of penis
11991,54200,Injection procedure for Peyronie disease;
11992,54205,Injection procedure for Peyronie disease; with surgical exposure of plaque
11996,54220,Irrigation of corpora cavernosa for priapism
11998,54230,Injection procedure for corpora cavernosography
11999,54231,"Dynamic cavernosometry, including intracavernosal injection of vasoactive drugs (eg, papaverine, phentolamine)"
12000,54235,"Injection of corpora cavernosa with pharmacologic agent(s) (eg, papaverine, phentolamine)"
12004,54250,Nocturnal penile tumescence and/or rigidity test
12012,54300,"Plastic operation of penis for straightening of chordee (eg, hypospadias), with or without mobilization of urethra"
12013,54304,Plastic operation on penis for correction of chordee or for first stage hypospadias repair with or without transplantation of prepuce and/or skin flaps
12014,54308,Urethroplasty for second stage hypospadias repair (including urinary diversion); less than 3 cm
12016,54312,Urethroplasty for second stage hypospadias repair (including urinary diversion); greater than 3 cm
12017,54316,Urethroplasty for second stage hypospadias repair (including urinary diversion) with free skin graft obtained from site other than genitalia
12018,54318,"Urethroplasty for third stage hypospadias repair to release penis from scrotum (eg, third stage Cecil repair)"
12020,54322,"One stage distal hypospadias repair (with or without chordee or circumcision); with simple meatal advancement (eg, Magpi, V-flap)"
12021,54324,"One stage distal hypospadias repair (with or without chordee or circumcision); with urethroplasty by local skin flaps (eg, flip-flap, prepucial flap)"
12022,54326,One stage distal hypospadias repair (with or without chordee or circumcision); with urethroplasty by local skin flaps and mobilization of urethra
12023,54328,"One stage distal hypospadias repair (with or without chordee or circumcision); with extensive dissection to correct chordee and urethroplasty with local skin flaps, skin graft patch, and/or island flap"
12025,54332,One stage proximal penile or penoscrotal hypospadias repair requiring extensive dissection to correct chordee and urethroplasty by use of skin graft tube and/or island flap
12026,54336,One stage perineal hypospadias repair requiring extensive dissection to correct chordee and urethroplasty by use of skin graft tube and/or island flap
12029,54340,"Repair of hypospadias complications (ie, fistula, stricture, diverticula); by closure, incision, or excision, simple"
12030,54344,"Repair of hypospadias complications (ie, fistula, stricture, diverticula); requiring mobilization of skin flaps and urethroplasty with flap or patch graft"
12031,54348,"Repair of hypospadias complications (ie, fistula, stricture, diverticula); requiring extensive dissection and urethroplasty with flap, patch or tubed graft (includes urinary diversion)"
12033,54352,Repair of hypospadias cripple requiring extensive dissection and excision of previously constructed structures including re-release of chordee and reconstruction of urethra and penis by use of local skin as grafts and island flaps and skin brought in as flaps or grafts
12035,54360,Plastic operation on penis to correct angulation
12038,54380,Plastic operation on penis for epispadias distal to external sphincter;
12043,54400,Insertion of penile prosthesis; non-inflatable (semi-rigid)
12044,54401,Insertion of penile prosthesis; inflatable (self-contained)
12045,54405,"Insertion of multi-component, inflatable penile prosthesis, including placement of pump, cylinders, and reservoir"
12046,54406,"Removal of all components of a multi-component, inflatable penile prosthesis without replacement of prosthesis"
12047,54408,"Repair of component(s) of a multi-component, inflatable penile prosthesis"
12049,54410,"Removal and replacement of all component(s) of a multi-component, inflatable penile prosthesis at the same operative session"
12050,54411,"Removal and replacement of all components of a multi-component inflatable penile prosthesis through an infected field at the same operative session, including irrigation and debridement of infected tissue"
12051,54415,"Removal of non-inflatable (semi-rigid) or inflatable (self-contained) penile prosthesis, without replacement of prosthesis"
12052,54416,Removal and replacement of non-inflatable (semi-rigid) or inflatable (self-contained) penile prosthesis at the same operative session
12053,54417,"Removal and replacement of non-inflatable (semi-rigid) or inflatable (self-contained) penile prosthesis through an infected field at the same operative session, including irrigation and debridement of infected tissue"
12057,54430,"Corpora cavernosa-corpus spongiosum shunt (priapism operation), unilateral or bilateral"
12058,54435,"Corpora cavernosa-glans penis fistulization (eg, biopsy needle, Winter procedure, rongeur, or punch) for priapism"
12060,54440,Plastic operation of penis for injury
12062,54450,Foreskin manipulation including lysis of preputial adhesions and stretching
12068,54500,"Biopsy of testis, needle (separate procedure)"
12069,54505,"Biopsy of testis, incisional (separate procedure)"
12071,54512,Excision of extraparenchymal lesion of testis
12072,54520,"Orchiectomy, simple (including subcapsular), with or without testicular prosthesis, scrotal or inguinal approach"
12073,54522,"Orchiectomy, partial"
12075,54530,"Orchiectomy, radical, for tumor; inguinal approach"
12076,54535,"Orchiectomy, radical, for tumor; with abdominal exploration"
12077,54550,Exploration for undescended testis (inguinal or scrotal area)
12084,54600,"Reduction of torsion of testis, surgical, with or without fixation of contralateral testis"
12085,54620,Fixation of contralateral testis (separate procedure)
12086,54640,"Orchiopexy, inguinal approach, with or without hernia repair"
12087,54650,"Orchiopexy, abdominal approach, for intra-abdominal testis (eg, Fowler-Stephens)"
12089,54660,Insertion of testicular prosthesis (separate procedure)
12091,54670,Suture or repair of testicular injury
12095,54690,"Laparoscopy, surgical; orchiectomy"
12096,54692,"Laparoscopy, surgical; orchiopexy for intra-abdominal testis"
12097,54699,"Unlisted laparoscopy procedure, testis"
12099,54700,"Incision and drainage of epididymis, testis and/or scrotal space (eg, abscess or hematoma)"
12122,54830,Excision of local lesion of epididymis
12124,54840,"Excision of spermatocele, with or without epididymectomy"
12127,54860,Epididymectomy; unilateral
12128,54861,Epididymectomy; bilateral
12129,54865,"Exploration of epididymis, with or without biopsy"
12135,54900,"Epididymovasostomy, anastomosis of epididymis to vas deferens; unilateral"
12136,54901,"Epididymovasostomy, anastomosis of epididymis to vas deferens; bilateral"
12205,55000,"Puncture aspiration of hydrocele, tunica vaginalis, with or without injection of medication"
12209,55040,Excision of hydrocele; unilateral
12210,55041,Excision of hydrocele; bilateral
12211,55060,Repair of tunica vaginalis hydrocele (Bottle type)
12219,55100,Drainage of scrotal wall abscess
12220,55110,Scrotal exploration
12222,55120,Removal of foreign body in scrotum
12228,55150,Resection of scrotum
12230,55175,Scrotoplasty; simple
12232,55180,Scrotoplasty; complicated
12240,55200,"Vasotomy, cannulization with or without incision of vas, unilateral or bilateral (separate procedure)"
12246,55250,"Vasectomy, unilateral or bilateral (separate procedure), including postoperative semen examination(s)"
12254,55300,"Vasotomy for vasograms, seminal vesiculograms, or epididymograms, unilateral or bilateral"
12266,55400,"Vasovasostomy, vasovasorrhaphy"
12272,55450,"Ligation (percutaneous) of vas deferens, unilateral or bilateral (separate procedure)"
12279,55500,"Excision of hydrocele of spermatic cord, unilateral (separate procedure)"
12282,55520,Excision of lesion of spermatic cord (separate procedure)
12284,55530,Excision of varicocele or ligation of spermatic veins for varicocele; (separate procedure)
12285,55535,Excision of varicocele or ligation of spermatic veins for varicocele; abdominal approach
12287,55540,Excision of varicocele or ligation of spermatic veins for varicocele; with hernia repair
12289,55550,"Laparoscopy, surgical, with ligation of spermatic veins for varicocele"
12290,55559,"Unlisted laparoscopy procedure, spermatic cord"
12310,55680,Excision of Mullerian duct cyst
12314,55700,"Biopsy, prostate; needle or punch, single or multiple, any approach"
12315,55705,"Biopsy, prostate; incisional, any approach"
12318,55720,"Prostatotomy, external drainage of prostatic abscess, any approach; simple"
12328,55801,"Prostatectomy, perineal, subtotal (including control of postoperative bleeding, vasectomy, meatotomy, urethral calibration and/or dilation, and internal urethrotomy)"
12330,55810,"Prostatectomy, perineal radical;"
12331,55812,"Prostatectomy, perineal radical; with lymph node biopsy(s) (limited pelvic lymphadenectomy)"
12332,55815,"Prostatectomy, perineal radical; with bilateral pelvic lymphadenectomy, including external iliac, hypogastric and obturator nodes"
12333,55821,"Prostatectomy (including control of postoperative bleeding, vasectomy, meatotomy, urethral calibration and/or dilation, and internal urethrotomy); suprapubic, subtotal, one or two stages"
12334,55831,"Prostatectomy (including control of postoperative bleeding, vasectomy, meatotomy, urethral calibration and/or dilation, and internal urethrotomy); retropubic, subtotal"
12335,55840,"Prostatectomy, retropubic radical, with or without nerve sparing;"
12336,55842,"Prostatectomy, retropubic radical, with or without nerve sparing; with lymph node biopsy(s) (limited pelvic lymphadenectomy)"
12337,55845,"Prostatectomy, retropubic radical, with or without nerve sparing; with bilateral pelvic lymphadenectomy, including external iliac, hypogastric, and obturator nodes"
12341,55860,"Exposure of prostate, any approach, for insertion of radioactive substance;"
12342,55862,"Exposure of prostate, any approach, for insertion of radioactive substance; with lymph node biopsy(s) (limited pelvic lymphadenectomy)"
12343,55865,"Exposure of prostate, any approach, for insertion of radioactive substance; with bilateral pelvic lymphadenectomy, including external iliac, hypogastric and obturator nodes"
12344,55866,"Laparoscopy, surgical prostatectomy, retropubic radical, including nerve sparing"
12345,55870,Electroejaculation
12346,55873,Cryosurgical ablation of the prostate (includes ultrasonic guidance for interstitial cryosurgical probe placement)
12347,55875,"Transperineal placement of needles or catheters into prostate for interstitial radioelement application, with or without cystoscopy"
12356,55899,"Unlisted procedure, male genital system"
12370,55970,Intersex surgery; male to female
12459,56405,Incision and drainage of vulva or perineal abscess
12460,56420,Incision and drainage of Bartholin's gland abscess
12461,56440,Marsupialization of Bartholin's gland cyst
12462,56441,Lysis of labial adhesions
12463,56442,"Hymenotomy, simple incision"
12466,56501,"Destruction of lesion(s), vulva; simple (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery)"
12468,56515,"Destruction of lesion(s), vulva; extensive (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery)"
12476,56605,Biopsy of vulva or perineum (separate procedure); one lesion
12477,56606,Biopsy of vulva or perineum (separate procedure); each separate additional lesion (List separately in addition to code for primary procedure)
12478,56620,Vulvectomy simple; partial
12479,56625,Vulvectomy simple; complete
12481,56630,"Vulvectomy, radical, partial;"
12482,56631,"Vulvectomy, radical, partial; with unilateral inguinofemoral lymphadenectomy"
12483,56632,"Vulvectomy, radical, partial; with bilateral inguinofemoral lymphadenectomy"
12484,56633,"Vulvectomy, radical, complete;"
12485,56634,"Vulvectomy, radical, complete; with unilateral inguinofemoral lymphadenectomy"
12486,56637,"Vulvectomy, radical, complete; with bilateral inguinofemoral lymphadenectomy"
12488,56640,"Vulvectomy, radical, complete, with inguinofemoral, iliac, and pelvic lymphadenectomy"
12498,56700,Partial hymenectomy or revision of hymenal ring
12503,56740,Excision of Bartholin's gland or cyst
12507,56800,Plastic repair of introitus
12508,56805,Clitoroplasty for intersex state
12509,56810,"Perineoplasty, repair of perineum, nonobstetrical (separate procedure)"
12510,56820,Colposcopy of the vulva;
12511,56821,Colposcopy of the vulva; with biopsy(s)
12578,57000,Colpotomy; with exploration
12580,57010,Colpotomy; with drainage of pelvic abscess
12582,57020,Colpocentesis (separate procedure)
12583,57022,Incision and drainage of vaginal hematoma; obstetrical/postpartum
12584,57023,"Incision and drainage of vaginal hematoma; non-obstetrical (eg, post-trauma, spontaneous bleeding)"
12588,57061,"Destruction of vaginal lesion(s); simple (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery)"
12589,57065,"Destruction of vaginal lesion(s); extensive (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery)"
12603,57100,Biopsy of vaginal mucosa; simple (separate procedure)
12604,57105,"Biopsy of vaginal mucosa; extensive, requiring suture (including cysts)"
12605,57106,"Vaginectomy, partial removal of vaginal wall;"
12606,57107,"Vaginectomy, partial removal of vaginal wall; with removal of paravaginal tissue (radical vaginectomy)"
12607,57109,"Vaginectomy, partial removal of vaginal wall; with removal of paravaginal tissue (radical vaginectomy) with bilateral total pelvic lymphadenectomy and para-aortic lymph node sampling (biopsy)"
12609,57110,"Vaginectomy, complete removal of vaginal wall;"
12610,57111,"Vaginectomy, complete removal of vaginal wall; with removal of paravaginal tissue (radical vaginectomy)"
12611,57112,"Vaginectomy, complete removal of vaginal wall; with removal of paravaginal tissue (radical vaginectomy) with bilateral total pelvic lymphadenectomy and para-aortic lymph node sampling (biopsy)"
12614,57120,Colpocleisis (Le Fort type)
12619,57130,Excision of vaginal septum
12620,57135,Excision of vaginal cyst or tumor
12625,57150,"Irrigation of vagina and/or application of medicament for treatment of bacterial, parasitic, or fungoid disease"
12626,57155,Insertion of uterine tandems and/or vaginal ovoids for clinical brachytherapy
12627,57160,Fitting and insertion of pessary or other intravaginal support device
12628,57170,Diaphragm or cervical cap fitting with instructions
12629,57180,Introduction of any hemostatic agent or pack for spontaneous or traumatic nonobstetrical vaginal hemorrhage (separate procedure)
12633,57200,"Colporrhaphy, suture of injury of vagina (nonobstetrical)"
12635,57210,"Colpoperineorrhaphy, suture of injury of vagina and/or perineum (nonobstetrical)"
12636,57220,"Plastic operation on urethral sphincter, vaginal approach (eg, Kelly urethral plication)"
12637,57230,Plastic repair of urethrocele
12638,57240,"Anterior colporrhaphy, repair of cystocele with or without repair of urethrocele"
12639,57250,"Posterior colporrhaphy, repair of rectocele with or without perineorrhaphy"
12640,57260,Combined anteroposterior colporrhaphy;
12641,57265,Combined anteroposterior colporrhaphy; with enterocele repair
12642,57267,"Insertion of mesh or other prosthesis for repair of pelvic floor defect, each site (anterior, posterior compartment), vaginal approach (List separately in addition to code for primary procedure)"
12643,57268,"Repair of enterocele, vaginal approach (separate procedure)"
12646,57280,"Colpopexy, abdominal approach"
12647,57282,"Colpopexy, vaginal; extra-peritoneal approach (sacrospinous, iliococcygeus)"
12648,57283,"Colpopexy, vaginal; intra-peritoneal approach (uterosacral, levator myorrhaphy)"
12649,57284,"Paravaginal defect repair (including repair of cystocele, stress urinary incontinence, and/or incomplete vaginal prolapse)"
12650,57287,"Removal or revision of sling for stress incontinence (eg, fascia or synthetic)"
12651,57288,"Sling operation for stress incontinence (eg, fascia or synthetic)"
12652,57289,"Pereyra procedure, including anterior colporrhaphy"
12653,57291,Construction of artificial vagina; without graft
12654,57292,Construction of artificial vagina; with graft
